q,n,digits,"debruijn_cycles_N(q,n)"
2,1,1,1
2,2,1,1
2,3,1,2
2,4,2,16
2,5,4,2048
2,6,8,67108864
2,7,18,144115188075855872
3,1,1,2
3,2,2,24
3,3,6,373248
3,4,20,12635683568857645056
3,5,61,4412096549284371716825493266405871561192241308681524521992192
3,6,187,1690543362473490607763865615818101022976830852665702834654208662844025757730981265011531625687846163976043668484515734987505134028396165765158614083342730415838580963176307431450559381504
3,7,564,855879741110845372560781483048414466752017491621382618496091803298908235302559817563404594481571509945661442326958214742483098293143204178646684422826996148384598206942259207667391995888417057009321866764779147961225551382537406028157558603718468290733488438514909404495112267187442597514920000526316589690989790717611255143171312670064835899333143617188082997610633778977115943862034538093456440120395671800082493788629732200448535934434447127644475126785676712629601325653915597228721030257624027560568481849125420526448163412305406828101850188700486391885201408
4,1,1,6
4,2,5,20736
4,3,21,189321481108517289984
4,4,86,84193682293466007059985334492532161703430869597864832444272886912377172152857758007296
4,5,351,210755016892811219346790059901648036989959933369071998644572580157891125982428575203728307524740958129053968346198008293260339218683316149284955590885033919112168132510539699864014287972062705270326413219706418716212008818147322594389489598667234019704647559082495762111468202570930495446827479395802836727606658016971020311455935780447087111253786624
4,6,1410,529604375749048479583007842559307096870619693605840149033980197952415612882082289225248602488703536018913050443244862119149339331144016227653349358147195799461953724631269462612676745033973788264094459605773164935109699137557260655878705759456891255504799750074637169970679755831595911718003494177511226891209107813813719374907777841745206718651052286654069734804494816533298054483877559670761391490754309649819173534680320934815192642115623192544307342758661999434973964922151922790311817617358892389115646830973720005683454307206011300497477034063437313695691164473062933864992911151169875909066233072884884944917725934208562752961230385308315052882746090563173738455589241924929944690859432136750406434304143000131690735262887757987027059126854782621744244817294369210707671507652439692017230777751475569137769025766759892708190946328530010909842771726272051135476339784408709431143512703299063398359176087518055228367473384823379815983185951339032262250920412095423950991551166936789675797838034776151755064592101179251838242184188466852968151431364613533415161156652428131980067972541861635798721032991075929716443992470081954881766060732062713217531745915130302194927216285815735502594979998568021523028624667842145346848680869043742269232698844260017760392621940344149618982907114056104561934617120168542270829397136931318331401041831710957519546732142839671165148044193181093160349419023890903210131456
4,7,5650,1351531310897809442792316709491701737721661906893275569693574433076547681530615088265868687835650513748923269497861234360559427167587376326155693555428479102966449619978157383913686724470618874872333614492148635439361413474380290928018820873703842092666081826138649383354665255593528964356309503165511403163263442060176258537372283479878375679252511556310959220103993633869874533262190992379088725852980702385449948835496098030282557803973781815561142483517093476375980994155008930037433693262262404980660699384997132541261547171426142563031859676214984417531262764466300528762160588945119094390598281520961399281273948480574684669381694542000403545531946966265710867911550129972113545965296694156216825234054554786486605799346609701511191002576330830775503744064610578129283164059954074400912264128455114735252812381836495205457794993346326160710820044909968703991562189055190818494910245026274936841568834173505228847514935081858760096200051517877523988148611077099468051554032702392791103928924735565483526329346328243830308268426374887022840471856166863739773031185106600517929917923034903574902616095387667795296752024219279274287608532332845435039403910526210485611265268678793982134093331263496929873584707829990436324400040557874000155464965149179069318799014753911164740891479926376135906747164114432499189979587959303379915709683515009323806900974878617962852480816251459190804709910128142784433207656591515184825736761607044003938372560984263381655248941747373475585114028813350585220023680182974787891479785648598919511473694790205152204222087064410459405841725939352416804092744550333389040235116876082300993991694693265358832411458602707041230307561465372708733141316082256924545790419625085513545622781957482066185504280041094842841897248709265243565755525119005609649729252663143157533559254687644815563358830950999637168679881381181267791154214705740738706910016272041154619561345638791536430177383371922301823028935818155304224482681787222946025139424447255926044029461584500571843707735700969607261067561700432147933001070109435407009374300643874452315546787608206277894120010080696843846961712165449323939319998108156537517692554129786956300576326407184525806855426016481260648329911405793157815021519192417216672734110175161624139006091718417007798233471578223088762298320503484030380998886727954435481492646229662676258579940918018415940424995241384775818879484572265651543595562817684075513300874702746021999345196450763662100155684514153454781743596212490748661255969628879947152897115779065173597696029009000904985018490189716020755785232782911279641164131173922800221938547490065162938257106980861180253190790815246230013015216477284534202062936153921702578502539087478546636657266148479715915406815300341099815094958761047763583205222106359342035485711936983841222006610838233580404881744484006832734715739112692339339073021853080997834732874695796785042378560161253540871169764869203080591424327796657972564223389411096926526761290012817453035472101020989592464862298662432217634243061140856164308788217062329669281213866041215374204564684212129330450056889767572149344796637124471370812679163242594866284560814251755855692705194817298148526685765243729323067644268562276984182517586988133749987041856969424421227452333679523508728303118019961420396822059999401848568613126257145501266620324814946474727014422066876068434036630597501738091827110075391090482153444827134227235095847919849776335177334431375956698371611126398881841599667079712521268655884662076143973499329663518743668516609858566472260931503261146361015503617478945693082993108482689966692850224425516607456184925466306405341508797659278078747250979062301978638435872106116458449821760917073671612518475269064262060896095877417298973400185168939066670974436297689627672363730312889966619782060926250617815111295890680560706750027584265135024454458750589465726926932289866040844648977419252837675094079983459690628675171915205698317867070167188068605588856264048543944796987563620285963478640466325133247706926679224261416683639014120401748806056114560314914612731249424272575998654627849429247879762514132275191584405951527114196449487207170199825906588344313425415810004276270754555682165289291212376369163641854433476957732990060566043046622177817503470899346303739178997406772297410282707726262278048372894483855594379274707846979591920974171485326821794760693093421704136269838414665239926499617691843331191294159150190339990388564132894592004609590015406874413462878460852433110712838563237423676254356251802633506802308444966478712508423795511503487274749617832644502915018186865528917352138970084207770116029154896656692182968101071540118909972606340371684245287082963620259422325356246779576392673400880126099808600789816754624671175991210018616358481780283905603308997960464456206372151278866707561796959608817845365068420796787067204670754531464498852279722982456502701101956188909236689139439991813023678577645619629282955308943630972237850140223776639305486227873139965163098984544626807620643230091801916884659914934605083689543523518542527267530117051991891231923346283996764694137713170567623283194962760827783337435986109002240511835072098685240890581753830187264448174960956013472282749950574581400434904541341783811917048903585097205934693566034376740324569392492531501672795672827800698314732121116670642087520071763975905406412476447815402547847177174389494079407160353285952376333214670388160622814836290094252007951253171988419210039536575537054624702823313084483264869415051350472066156231832209527488457559375047671469830815325236664686175735094744492325065359119630691994261798885038118267623244336082656650023651703263066968817664
